,Close price,Mean_10days,Std_10days,Var_10days,label_10days
218,0.540301,0.541308,0.006517,4.2e-05,medium
219,0.536268,0.541308,0.006517,4.2e-05,medium
220,0.524172,0.51258,0.010679,0.000114,medium
221,0.526188,0.51258,0.010679,0.000114,medium
222,0.518124,0.51258,0.010679,0.000114,medium
223,0.51006,0.51258,0.010679,0.000114,medium
224,0.49998,0.51258,0.010679,0.000114,medium
225,0.527195,0.51258,0.010679,0.000114,medium
226,0.514092,0.51258,0.010679,0.000114,medium
227,0.508044,0.51258,0.010679,0.000114,medium
228,0.501996,0.51258,0.010679,0.000114,medium
229,0.495948,0.51258,0.010679,0.000114,medium
230,0.493931,0.456634,0.023892,0.000571,medium
231,0.487883,0.456634,0.023892,0.000571,medium
232,0.473771,0.456634,0.023892,0.000571,medium
233,0.473771,0.456634,0.023892,0.000571,medium
234,0.459659,0.456634,0.023892,0.000571,medium
235,0.425386,0.456634,0.023892,0.000571,medium
236,0.421354,0.456634,0.023892,0.000571,medium
237,0.441514,0.456634,0.023892,0.000571,medium
238,0.445546,0.456634,0.023892,0.000571,medium
239,0.44353,0.456634,0.023892,0.000571,medium
240,0.441514,0.508648,0.042997,0.001849,medium
241,0.427402,0.508648,0.042997,0.001849,medium
242,0.489899,0.508648,0.042997,0.001849,medium
243,0.504012,0.508648,0.042997,0.001849,medium
244,0.514092,0.508648,0.042997,0.001849,medium
245,0.53022,0.508648,0.042997,0.001849,medium
246,0.564493,0.508648,0.042997,0.001849,medium
247,0.559451,0.508648,0.042997,0.001849,medium
248,0.521147,0.508648,0.042997,0.001849,medium
249,0.534252,0.508648,0.042997,0.001849,medium
250,0.52014,0.563485,0.047197,0.002228,medium
251,0.51006,0.563485,0.047197,0.002228,medium
252,0.524172,0.563485,0.047197,0.002228,medium
253,0.53022,0.563485,0.047197,0.002228,medium
254,0.532236,0.563485,0.047197,0.002228,medium
255,0.560461,0.563485,0.047197,0.002228,medium
256,0.564493,0.563485,0.047197,0.002228,medium
257,0.618926,0.563485,0.047197,0.002228,medium
258,0.637071,0.563485,0.047197,0.002228,medium
259,0.637071,0.563485,0.047197,0.002228,medium
260,0.848756,0.796338,0.065749,0.004323,medium
261,0.941494,0.796338,0.065749,0.004323,medium
